game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822802,2026-06-13,676609,"Caballero, José",TOR,4,4,0,0,0,0,0,0,0,4,0,0,0,0,2026
822802,2026-06-13,682987,"Jones, Spencer",TOR,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822802,2026-06-13,691176,"Domínguez, Jasson",TOR,4,5,1,0,0,0,1,0,0,1,0,0,1,4,2026
822802,2026-06-13,700250,"Rice, Ben",TOR,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822803,2026-06-12,502671,"Goldschmidt, Paul",TOR,5,4,1,1,0,0,0,0,0,1,0,0,1,1,2026
822803,2026-06-12,641355,"Bellinger, Cody",TOR,5,5,1,0,0,0,1,0,0,0,0,0,2,4,2026
822803,2026-06-12,641555,"Escarra, J.C.",TOR,2,2,1,0,1,0,0,0,0,1,0,0,0,2,2026
822803,2026-06-12,641857,"McMahon, Ryan",TOR,4,3,0,0,0,0,0,1,0,1,0,0,0,0,2026
822803,2026-06-12,642708,"Rosario, Amed",TOR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822803,2026-06-12,645305,"Sánchez, Ali",TOR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822803,2026-06-12,663757,"Grisham, Trent",TOR,4,4,1,1,0,0,0,0,0,0,0,0,2,1,2026
822803,2026-06-12,665862,"Chisholm Jr., Jazz",TOR,5,4,1,1,0,0,0,1,0,2,0,0,0,1,2026
822803,2026-06-12,676609,"Caballero, José",TOR,4,3,2,1,1,0,0,1,0,0,0,0,0,3,2026
822803,2026-06-12,680474,"Schuemann, Max",TOR,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2026
822803,2026-06-12,682987,"Jones, Spencer",TOR,4,2,0,0,0,0,0,2,0,2,0,0,0,0,2026
822803,2026-06-12,700250,"Rice, Ben",TOR,5,3,0,0,0,0,0,2,0,0,0,0,0,0,2026
822906,2026-04-27,592450,"Judge, Aaron",TEX,4,3,3,0,2,0,1,0,1,0,0,0,1,8,2026
822906,2026-04-27,641355,"Bellinger, Cody",TEX,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822906,2026-04-27,641857,"McMahon, Ryan",TEX,4,4,1,1,0,0,0,0,0,2,0,0,0,1,2026
822906,2026-04-27,663757,"Grisham, Trent",TEX,5,4,1,1,0,0,0,1,0,0,0,0,0,1,2026
822906,2026-04-27,665862,"Chisholm Jr., Jazz",TEX,4,4,1,0,0,0,1,0,0,0,0,0,1,4,2026
822906,2026-04-27,669224,"Wells, Austin",TEX,4,3,0,0,0,0,0,1,0,1,0,0,0,0,2026
822906,2026-04-27,676609,"Caballero, José",TEX,4,3,1,1,0,0,0,0,1,0,0,0,0,1,2026
822906,2026-04-27,691176,"Domínguez, Jasson",TEX,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822906,2026-04-27,700250,"Rice, Ben",TEX,5,4,1,0,0,0,1,1,0,0,0,0,2,4,2026
822907,2026-04-29,592450,"Judge, Aaron",TEX,4,4,0,0,0,0,0,0,0,2,0,0,0,0,2026
822907,2026-04-29,641355,"Bellinger, Cody",TEX,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
